X,CH1,CH2,
Second,Volt,Volt,
-7.5379997e-02,-3.92000e+00,8.00000e-03,
-7.5360000e-02,-3.88000e+00,1.60000e-02,
-7.5339995e-02,-3.88000e+00,1.60000e-02,
-7.5319998e-02,-3.84000e+00,2.40000e-02,
-7.5300001e-02,-3.80000e+00,2.40000e-02,
-7.5279996e-02,-3.76000e+00,2.40000e-02,
-7.5259998e-02,-3.76000e+00,2.40000e-02,
-7.5240001e-02,-3.72000e+00,2.40000e-02,
-7.5219996e-02,-3.72000e+00,2.40000e-02,
-7.5199999e-02,-3.64000e+00,2.40000e-02,
-7.5180002e-02,-3.64000e+00,2.40000e-02,
-7.5159997e-02,-3.60000e+00,2.40000e-02,
-7.5139999e-02,-3.60000e+00,2.40000e-02,
-7.5119995e-02,-3.56000e+00,2.40000e-02,
-7.5099997e-02,-3.52000e+00,2.40000e-02,
-7.5080000e-02,-3.48000e+00,2.40000e-02,
-7.5059995e-02,-3.52000e+00,2.40000e-02,
-7.5039998e-02,-3.48000e+00,2.40000e-02,
-7.5020000e-02,-3.44000e+00,1.60000e-02,
-7.4999996e-02,-3.40000e+00,2.40000e-02,
-7.4979998e-02,-3.36000e+00,2.40000e-02,
-7.4960001e-02,-3.32000e+00,2.40000e-02,
-7.4939996e-02,-3.32000e+00,1.60000e-02,
-7.4919999e-02,-3.28000e+00,1.60000e-02,
-7.4900001e-02,-3.28000e+00,1.60000e-02,
-7.4879996e-02,-3.24000e+00,2.40000e-02,
-7.4859999e-02,-3.20000e+00,2.40000e-02,
-7.4840002e-02,-3.20000e+00,2.40000e-02,
-7.4819997e-02,-3.16000e+00,2.40000e-02,
-7.4800000e-02,-3.12000e+00,1.60000e-02,
-7.4779995e-02,-3.12000e+00,2.40000e-02,
-7.4759997e-02,-3.08000e+00,2.40000e-02,
-7.4740000e-02,-3.04000e+00,2.40000e-02,
-7.4719995e-02,-3.00000e+00,1.60000e-02,
-7.4699998e-02,-3.00000e+00,2.40000e-02,
-7.4680001e-02,-2.96000e+00,1.60000e-02,
-7.4659996e-02,-2.92000e+00,1.60000e-02,
-7.4639998e-02,-2.92000e+00,2.40000e-02,
-7.4620001e-02,-2.88000e+00,1.60000e-02,
-7.4599996e-02,-2.84000e+00,2.40000e-02,
-7.4579999e-02,-2.84000e+00,1.60000e-02,
-7.4560001e-02,-2.80000e+00,1.60000e-02,
-7.4539997e-02,-2.76000e+00,8.00000e-03,
-7.4519999e-02,-2.76000e+00,8.00000e-03,
-7.4499995e-02,-2.68000e+00,1.60000e-02,
-7.4479997e-02,-2.68000e+00,1.60000e-02,
-7.4460000e-02,-2.68000e+00,1.60000e-02,
-7.4439995e-02,-2.60000e+00,8.00000e-03,
-7.4419998e-02,-2.60000e+00,1.60000e-02,
-7.4400000e-02,-2.60000e+00,1.60000e-02,
-7.4379995e-02,-2.52000e+00,1.60000e-02,
-7.4359998e-02,-2.56000e+00,1.60000e-02,
